ZIF_KEY|ZGROUPING|ZTYPE|XBLNR|ZBUZEI1|ZBUZEI2|BUDAT|WAERS|BKTXT|ZGUBUN|BSCHL|NEWKO|HKONT|WRBTR|WMWST|ZUONR|SGTXT|MWSKZ|ZFBDT|KOSTL|ZBUKRS|VKBUR|WW001|KUNRE|WW006|WW007|WW003|VBUND|WW008|WW004|WW009|MTART|WW005|ZTERM|ZKUNNR|WRBTR1|ZVKBUR|ZWW001|KOSTL1|ENPRI_CD|BUSIP_SEQ|ZBANKL|ZBANKN|ZKOINH|ZERROR|ZMESSAGE|ZREAD|BUKRS|BELNR|GJAHR|BELNR2|ZCOMPANY|ZLINK|ZCREATE|Z_APP_NO|ERNAM|ERDAT|ERZET
1087538447|1|D2|2002032550|000001||20200203|KRW|양면테이프|D21|11|1000529751|207100|26840|2440|2002032550|(주)혜창 (주)혜창|A1|20200331|||||||||||||||A000||0|1502|100582186|22070|A06139|1|||||||||||||||||
1087538448|1|D2|2002032550|000002|0001|20200203|KRW|양면테이프|D22|40|502110||24400|||벽시계|A1|||1000|1502|100582186|1000529751|100462|100462|30142012||X|2||ZMD|X|||0|1502|100582186|22070|A06139|1|||||||||||||||||
1087538449|1|D2|2002032550|000003|0001|20200203|KRW|양면테이프|D23|50|602100||17800|||벽시계||||1000|1502|100582186|1000529751|100462|100462|30142012||X|2||ZMD|X|||0|1502|100582186|22070|A06139|1|||||||||||||||||
1087538450|1|D2|2002032550|000004||20200203|KRW|양면테이프|D24|40|241700||17800|||(주)혜창 (주)혜창|||||||||||||||||||0|1502|100582186|22070|A06139|1|||||||||||||||||
