[FimsReadDemon             ; 0:03:03] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:03:05]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:03:05]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:03:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:03:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:03:05]Program End.
[FimsSendDemon             ; 0:05:03] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:05:05]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:05:07]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:05:07]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:05:07]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:05:07]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:05:07]Program End.
[FimsReadDemon             ; 0:13:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:13:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:13:04]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:13:04]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:13:04]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:13:04]Program End.
[FimsReadDemon             ; 0:23:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:23:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:23:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:23:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:23:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:23:03]Program End.
[FimsReadDemon             ; 0:33:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:33:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:33:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:33:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:33:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:33:03]Program End.
[FimsSendDemon             ; 0:35:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:35:03]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:35:03]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:35:03]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:35:03]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:35:03]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:35:03]Program End.
[FimsReadDemon             ; 0:43:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:43:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:43:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:43:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:43:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:43:03]Program End.
[FimsReadDemon             ; 0:53:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:53:02]METS Db CONNECTION !! 
