[FimsReadDemon             ; 0:03:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:03:11]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:03:11]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:03:11]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:03:11]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:03:11]Program End.
[FimsSendDemon             ; 0:05:02] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:05:12]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:05:12]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:05:12]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:05:12]Program End.
[FimsSendDemon             ; 0:08:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:08:11]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:08:12]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:08:12]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:08:12]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:08:12]Program End.
[FimsReadDemon             ; 0:13:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:13:11]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:13:11]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:13:12]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:13:12]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:13:12]Program End.
[FimsSendDemon             ; 0:18:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:18:11]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:18:11]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:18:11]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:18:11]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:18:11]Program End.
[FimsReadDemon             ; 0:23:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:23:12]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:23:12]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:23:12]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:23:12]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:23:12]Program End.
[FimsSendDemon             ; 0:28:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:28:11]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:28:11]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:28:11]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:28:11]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:28:11]Program End.
[FimsReadDemon             ; 0:33:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:33:12]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:33:12]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:33:12]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:33:12]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:33:12]Program End.
[FimsSendDemon             ; 0:35:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:35:11]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:35:12]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:35:12]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:35:12]Program End.
[FimsSendDemon             ; 0:38:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:38:12]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:38:12]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:38:12]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:38:12]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:38:12]Program End.
[FimsReadDemon             ; 0:43:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:43:11]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:43:11]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:43:11]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:43:11]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:43:11]Program End.
[FimsSendDemon             ; 0:48:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:48:12]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:48:12]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:48:12]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:48:12]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:48:12]Program End.
[FimsReadDemon             ; 0:53:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:53:11]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:53:11]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:53:11]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:53:11]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:53:11]Program End.
[FimsSendDemon             ; 0:58:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:58:11]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:58:11]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:58:11]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:58:11]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:58:11]Program End.
[FimsReadDemon             ; 1:03:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:03:11]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:03:12]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:03:12]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:03:12]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:03:12]Program End.
[FimsSendDemon             ; 1:05:02] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 1:05:13]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:05:13]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 1:05:13]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:05:13]Program End.
[FimsSendDemon             ; 1:08:02] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:08:12]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:08:13]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:08:13]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:08:13]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:08:13]Program End.
[FimsReadDemon             ; 1:13:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:13:12]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:13:12]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:13:12]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:13:12]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:13:12]Program End.
[FimsSendDemon             ; 1:18:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:18:11]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:18:11]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:18:11]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:18:12]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:18:12]Program End.
[FimsReadDemon             ; 1:23:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:23:12]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:23:12]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:23:12]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:23:12]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:23:12]Program End.
[FimsSendDemon             ; 1:28:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:28:11]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:28:11]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:28:11]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:28:11]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:28:11]Program End.
[FimsReadDemon             ; 1:33:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:33:11]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:33:11]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:33:11]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:33:11]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:33:11]Program End.
[FimsSendDemon             ; 1:35:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 1:35:12]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:35:12]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 1:35:12]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:35:12]Program End.
[FimsSendDemon             ; 1:38:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:38:12]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:38:12]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:38:12]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:38:12]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:38:12]Program End.
[FimsReadDemon             ; 1:43:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:43:12]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:43:12]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:43:12]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:43:12]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:43:12]Program End.
[FimsSendDemon             ; 1:48:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:48:11]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:48:11]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:48:11]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:48:11]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:48:11]Program End.
[FimsReadDemon             ; 1:53:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:53:12]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:53:12]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:53:12]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:53:12]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:53:12]Program End.
[FimsSendDemon             ; 1:58:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:58:12]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:58:12]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:58:12]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:58:12]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:58:12]Program End.
[FimsReadDemon             ; 2:03:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:03:11]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:03:11]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:03:11]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:03:11]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:03:11]Program End.
[FimsSendDemon             ; 2:05:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 2:05:12]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:05:12]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 2:05:12]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:05:12]Program End.
[FimsSendDemon             ; 2:08:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
