[FimsReadDemon             ; 0:03:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:03:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:03:04]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:03:04]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:03:04]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:03:04]Program End.
[FimsSendDemon             ; 0:05:03] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:05:06]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:05:07]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:05:07]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:05:07]Program End.
[FimsSendDemon             ; 0:08:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:08:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:08:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:08:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:08:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:08:05]Program End.
[FimsReadDemon             ; 0:13:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:13:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:13:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:13:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:13:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:13:03]Program End.
[FimsSendDemon             ; 0:18:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:18:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:18:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:18:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:18:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:18:02]Program End.
[FimsReadDemon             ; 0:23:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:23:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:23:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:23:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:23:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:23:03]Program End.
[FimsSendDemon             ; 0:28:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:28:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:28:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:28:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:28:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:28:01]Program End.
[FimsReadDemon             ; 0:33:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:33:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:33:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:33:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:33:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:33:02]Program End.
[FimsSendDemon             ; 0:35:02] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:35:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:35:04]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:35:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:35:04]Program End.
[FimsSendDemon             ; 0:38:00] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:38:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:38:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:38:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:38:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:38:01]Program End.
[FimsReadDemon             ; 0:43:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:43:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:43:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:43:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:43:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:43:03]Program End.
[FimsSendDemon             ; 0:48:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:48:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:48:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:48:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:48:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:48:01]Program End.
[FimsReadDemon             ; 0:53:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:53:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:53:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:53:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:53:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:53:03]Program End.
[FimsSendDemon             ; 0:58:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:58:01]METS Db CONNECTION !! 
