[FimsReadDemon             ; 0:03:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:03:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:03:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:03:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:03:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:03:06]Program End.
[FimsSendDemon             ; 0:05:02] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:05:03]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:05:03]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:05:03]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:05:03]Program End.
[FimsSendDemon             ; 0:08:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:08:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:08:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:08:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:08:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:08:04]Program End.
[FimsReadDemon             ; 0:13:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:13:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:13:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:13:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:13:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:13:03]Program End.
[FimsSendDemon             ; 0:18:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:18:03]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:18:03]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:18:03]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:18:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:18:04]Program End.
[FimsReadDemon             ; 0:23:03] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:23:05]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:23:07]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:23:08]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:23:10]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:23:10]Program End.
[FimsSendDemon             ; 0:28:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:28:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:28:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:28:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:28:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:28:02]Program End.
[FimsReadDemon             ; 0:33:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:33:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:33:01]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:33:01]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:33:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:33:03]Program End.
[FimsSendDemon             ; 0:35:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:35:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:35:02]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:35:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:35:02]Program End.
[FimsSendDemon             ; 0:38:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:38:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:38:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:38:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:38:03]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:38:03]Program End.
[FimsReadDemon             ; 0:43:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:43:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:43:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:43:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:43:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:43:05]Program End.
[FimsSendDemon             ; 0:48:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:48:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:48:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:48:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:48:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:48:02]Program End.
[FimsReadDemon             ; 0:53:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:53:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:53:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:53:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:53:04]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:53:04]Program End.
[FimsSendDemon             ; 0:58:02] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
