[FimsReadDemon             ; 0:03:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:03:04]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:03:04]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:03:04]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:03:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:03:06]Program End.
[FimsSendDemon             ; 0:05:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:05:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:05:01]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:05:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:05:01]Program End.
[FimsSendDemon             ; 0:08:02] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:08:03]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:08:03]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:08:03]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:08:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:08:05]Program End.
[FimsReadDemon             ; 0:13:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:13:01]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:13:01]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:13:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:13:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:13:03]Program End.
[FimsSendDemon             ; 0:18:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:18:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:18:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:18:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:18:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:18:01]Program End.
[FimsReadDemon             ; 0:23:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:23:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:23:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:23:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:23:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:23:03]Program End.
[FimsSendDemon             ; 0:28:02] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:28:03]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:28:03]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:28:03]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:28:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:28:04]Program End.
[FimsReadDemon             ; 0:33:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:33:05]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:33:05]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:33:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:33:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:33:06]Program End.
[FimsSendDemon             ; 0:35:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:35:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:35:02]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:35:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:35:02]Program End.
[FimsSendDemon             ; 0:38:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:38:03]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:38:04]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:38:04]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:38:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:38:05]Program End.
[FimsReadDemon             ; 0:43:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:43:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:43:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:43:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:43:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:43:05]Program End.
[FimsSendDemon             ; 0:48:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:48:05]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:48:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:48:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:48:07]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:48:07]Program End.
[FimsReadDemon             ; 0:53:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:53:05]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:53:05]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:53:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:53:08]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:53:08]Program End.
[FimsSendDemon             ; 0:58:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:58:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:58:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:58:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:58:06]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:58:06]Program End.
[FimsReadDemon             ; 1:03:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:03:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:03:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:03:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:03:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:03:05]Program End.
[FimsSendDemon             ; 1:05:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 1:05:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:05:01]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 1:05:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:05:01]Program End.
[FimsSendDemon             ; 1:08:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:08:03]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:08:03]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:08:03]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:08:03]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:08:03]Program End.
[FimsReadDemon             ; 1:13:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:13:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:13:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:13:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:13:04]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:13:04]Program End.
[FimsSendDemon             ; 1:18:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:18:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:18:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:18:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:18:03]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:18:03]Program End.
[FimsReadDemon             ; 1:23:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:23:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:23:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:23:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:23:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:23:03]Program End.
[FimsSendDemon             ; 1:28:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:28:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:28:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:28:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:28:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:28:02]Program End.
