[FimsReadDemon             ; 0:03:03] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:03:04]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:03:04]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:03:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:03:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:03:05]Program End.
[FimsSendDemon             ; 0:05:04] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:05:07]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:05:08]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:05:08]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:05:08]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:05:08]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:05:08]Program End.
[FimsReadDemon             ; 0:13:03] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:13:04]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:13:04]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:13:04]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:13:04]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:13:04]Program End.
[FimsReadDemon             ; 0:23:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:23:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:23:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:23:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:23:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:23:03]Program End.
[FimsReadDemon             ; 0:33:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:33:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:33:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:33:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:33:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:33:03]Program End.
[FimsSendDemon             ; 0:35:02] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:35:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:35:04]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:35:04]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:35:04]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:35:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:35:04]Program End.
[FimsReadDemon             ; 0:43:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:43:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:43:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:43:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:43:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:43:03]Program End.
[FimsReadDemon             ; 0:53:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:53:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:53:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:53:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:53:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:53:03]Program End.
[FimsReadDemon             ; 1:03:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:03:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:03:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:03:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:03:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:03:03]Program End.
[FimsSendDemon             ; 1:05:03] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 1:05:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:05:05]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 1:05:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:05:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:05:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:05:05]Program End.
[FimsReadDemon             ; 1:13:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:13:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:13:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:13:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:13:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:13:02]Program End.
[FimsReadDemon             ; 1:23:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:23:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:23:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:23:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:23:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:23:03]Program End.
[FimsReadDemon             ; 1:33:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:33:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:33:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:33:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:33:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:33:02]Program End.
[FimsSendDemon             ; 1:35:02] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 1:35:03]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:35:04]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 1:35:04]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:35:04]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:35:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:35:04]Program End.
[FimsReadDemon             ; 1:43:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:43:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:43:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:43:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:43:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:43:03]Program End.
[FimsReadDemon             ; 1:53:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:53:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:53:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:53:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:53:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:53:02]Program End.
[FimsReadDemon             ; 2:03:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:03:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:03:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:03:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:03:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:03:03]Program End.
[FimsSendDemon             ; 2:05:04] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 2:05:06]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:05:07]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 2:05:07]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 2:05:07]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 2:05:07]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:05:07]Program End.
[FimsReadDemon             ; 2:13:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:13:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:13:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:13:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:13:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:13:03]Program End.
[FimsReadDemon             ; 2:23:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:23:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:23:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:23:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:23:03]METS Db Dis_Conn !! 
