[FimsReadDemon             ; 14:23:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 14:23:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 14:23:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 14:23:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 14:23:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 14:23:02]Program End.
[FimsSendDemon             ; 14:27:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 14:27:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 14:27:03]1번>>>> 납품지시내역 연동 시작: FimsOrdData_20190712142702.dat
[FimsSendDemon             ; 14:27:03]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 14:27:03]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 14:27:03]METS Db Dis_Conn !! 
[FimsSendDemon             ; 14:27:03]Program End.
[FimsReadDemon             ; 14:33:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 14:33:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 14:33:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 14:33:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 14:33:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 14:33:02]Program End.
[FimsSendDemon             ; 14:35:02] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 14:35:03]METS Db CONNECTION !! 
[FimsSendDemon             ; 14:35:04]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 14:35:04]3번>>>> 제조사 배송 정보 연동 시작: FimsDeliSco_20190712143504.dat
[FimsSendDemon             ; 14:35:04]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 14:35:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 14:35:04]Program End.
[FimsSendDemon             ; 14:37:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 14:37:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 14:37:01]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 14:37:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 14:37:01]4번>>>> 제조사 배송 내역 연동 시작: FimsDeliDlvr_20190712143701.dat
[FimsSendDemon             ; 14:37:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 14:37:02]Program End.
[FimsReadDemon             ; 14:43:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 14:43:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 14:43:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 14:43:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 14:43:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 14:43:02]Program End.
[FimsSendDemon             ; 14:47:00] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 14:47:01]METS Db CONNECTION !! 
[FimsSendDemon             ; 14:47:01]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 14:47:01]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 14:47:01]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 14:47:01]METS Db Dis_Conn !! 
[FimsSendDemon             ; 14:47:01]Program End.
[FimsReadDemon             ; 14:53:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 14:53:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 14:53:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 14:53:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 14:53:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 14:53:02]Program End.
[FimsReadDemon             ; 15:03:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 15:03:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 15:03:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 15:03:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 15:03:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 15:03:02]Program End.
[FimsSendDemon             ; 15:05:02] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 15:05:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 15:05:04]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 15:05:04]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 15:05:04]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 15:05:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 15:05:04]Program End.
[FimsReadDemon             ; 15:13:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 15:13:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 15:13:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 15:13:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 15:13:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 15:13:03]Program End.
[FimsReadDemon             ; 15:23:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 15:23:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 15:23:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 15:23:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 15:23:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 15:23:03]Program End.
[FimsReadDemon             ; 15:33:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 15:33:03]METS Db CONNECTION !! 
[FimsReadDemon             ; 15:33:03]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 15:33:03]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 15:33:03]METS Db Dis_Conn !! 
[FimsReadDemon             ; 15:33:03]Program End.
[FimsSendDemon             ; 15:35:01] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 15:35:03]METS Db CONNECTION !! 
[FimsSendDemon             ; 15:35:03]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 15:35:03]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 15:35:03]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 15:35:03]METS Db Dis_Conn !! 
[FimsSendDemon             ; 15:35:03]Program End.
[FimsReadDemon             ; 15:43:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 15:43:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 15:43:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 15:43:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 15:43:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 15:43:02]Program End.
[FimsReadDemon             ; 15:53:01] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 15:53:02]METS Db CONNECTION !! 
[FimsReadDemon             ; 15:53:02]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 15:53:02]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 15:53:02]METS Db Dis_Conn !! 
[FimsReadDemon             ; 15:53:02]Program End.
[FimsReadDemon             ; 16:03:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 16:03:03]METS Db CONNECTION !! 
