[FimsReadDemon             ; 1:03:05]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:03:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:03:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:03:05]Program End.
[FimsSendDemon             ; 1:05:03] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 1:05:06]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:05:07]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 1:05:07]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:05:07]Program End.
[FimsSendDemon             ; 1:08:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:08:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:08:04]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:08:04]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:08:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:08:04]Program End.
[FimsReadDemon             ; 1:13:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:13:06]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:13:06]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:13:06]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:13:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:13:06]Program End.
[FimsSendDemon             ; 1:18:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:18:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:18:04]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:18:04]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:18:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:18:04]Program End.
[FimsReadDemon             ; 1:23:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:23:06]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:23:06]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:23:06]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:23:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:23:06]Program End.
[FimsSendDemon             ; 1:28:04] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:28:05]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:28:06]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:28:06]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:28:06]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:28:06]Program End.
[FimsReadDemon             ; 1:33:05] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:33:07]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:33:07]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:33:07]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:33:07]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:33:07]Program End.
[FimsSendDemon             ; 1:35:04] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 1:35:06]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:35:07]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 1:35:07]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:35:07]Program End.
[FimsSendDemon             ; 1:38:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:38:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:38:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:38:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:38:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:38:05]Program End.
[FimsReadDemon             ; 1:43:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:43:06]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:43:06]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:43:06]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:43:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:43:06]Program End.
[FimsSendDemon             ; 1:48:04] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:48:05]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:48:06]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:48:06]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:48:06]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:48:06]Program End.
[FimsReadDemon             ; 1:53:05] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:53:06]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:53:06]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:53:06]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:53:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:53:06]Program End.
[FimsSendDemon             ; 1:58:04] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:58:05]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:58:06]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:58:06]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:58:06]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:58:06]Program End.
[FimsReadDemon             ; 2:03:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:03:06]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:03:06]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:03:06]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:03:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:03:06]Program End.
[FimsSendDemon             ; 2:05:05] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 2:05:07]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:05:08]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 2:05:08]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:05:08]Program End.
[FimsSendDemon             ; 2:08:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 2:08:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:08:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 2:08:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 2:08:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:08:05]Program End.
[FimsReadDemon             ; 2:13:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:13:05]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:13:05]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:13:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:13:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:13:05]Program End.
[FimsSendDemon             ; 2:18:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 2:18:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:18:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
